timestamp_utc,date,price,in_stock
2026-08-22T17:58:33+00:00,2026-08-22,838.60,1
2026-08-23T09:45:57+00:00,2026-08-23,838.60,1
2026-08-23T17:57:32+00:00,2026-08-23,838.60,1
2026-08-24T10:06:39+00:00,2026-08-24,838.60,1
2026-08-24T18:05:02+00:00,2026-08-24,838.60,1
2026-08-25T09:54:03+00:00,2026-08-25,838.60,1
2026-08-25T18:04:34+00:00,2026-08-25,838.60,1
2026-08-26T10:00:13+00:00,2026-08-26,838.60,1
2026-08-26T19:27:02+00:00,2026-08-26,788.95,1
2026-08-27T19:52:40+00:00,2026-08-27,788.95,1
2026-08-28T01:46:50+00:00,2026-08-28,788.95,1
2026-08-28T20:56:47+00:00,2026-08-28,788.95,1
2026-08-29T01:11:03+00:00,2026-08-29,788.95,1
2026-08-29T14:32:02+00:00,2026-08-29,788.95,1
2026-08-29T19:59:44+00:00,2026-08-29,788.95,1
2026-08-30T14:26:56+00:00,2026-08-30,788.95,1
2026-08-30T20:03:03+00:00,2026-08-30,788.95,1
2026-08-31T17:06:24+00:00,2026-08-31,788.95,1
2026-08-31T22:03:26+00:00,2026-08-31,788.95,1
2026-09-01T14:11:14+00:00,2026-09-01,788.95,1
2026-09-01T20:09:38+00:00,2026-09-01,788.95,1
2026-09-02T13:43:33+00:00,2026-09-02,788.95,1
2026-09-02T20:07:08+00:00,2026-09-02,788.95,1
2026-09-03T13:38:05+00:00,2026-09-03,788.95,1
2026-09-03T20:08:31+00:00,2026-09-03,788.95,1
2026-09-04T13:34:38+00:00,2026-09-04,788.95,1
2026-09-04T19:53:07+00:00,2026-09-04,788.95,1
2026-09-05T12:46:28+00:00,2026-09-05,788.95,1
2026-09-05T19:32:36+00:00,2026-09-05,788.95,1
